id,type,cx,cy,mass,shape,dl_fx,dl_fy,dl_mz,ll_fx,ll_fy,ll_mz
52,mortar,16.1666667,20.0000000,0.2500000,element_52.json,0,0.2500000,0,0.2500000,0,0
53,mortar,17.5000000,20.3333333,0.2500000,element_53.json,0,0.2500000,0,0.2500000,0,0
54,mortar,16.8333333,20.0000000,0.2500000,element_54.json,0,0.2500000,0,0.2500000,0,0
55,mortar,17.1666667,20.0000000,0.2500000,element_55.json,0,0.2500000,0,0.2500000,0,0
56,mortar,18.5000000,20.3333333,0.2500000,element_56.json,0,0.2500000,0,0.2500000,0,0
57,mortar,17.8333333,20.0000000,0.2500000,element_57.json,0,0.2500000,0,0.2500000,0,0
58,mortar,18.1666667,20.0000000,0.2500000,element_58.json,0,0.2500000,0,0.2500000,0,0
59,mortar,19.5000000,20.3333333,0.2500000,element_59.json,0,0.2500000,0,0.2500000,0,0
60,mortar,18.8333333,20.0000000,0.2500000,element_60.json,0,0.2500000,0,0.2500000,0,0
61,mortar,19.1666667,20.0000000,0.2500000,element_61.json,0,0.2500000,0,0.2500000,0,0
62,mortar,20.5000000,20.3333333,0.2500000,element_62.json,0,0.2500000,0,0.2500000,0,0
63,mortar,19.8333333,20.0000000,0.2500000,element_63.json,0,0.2500000,0,0.2500000,0,0
64,mortar,20.1666667,20.0000000,0.2500000,element_64.json,0,0.2500000,0,0.2500000,0,0
65,mortar,21.5000000,20.3333333,0.2500000,element_65.json,0,0.2500000,0,0.2500000,0,0
66,mortar,20.8333333,20.0000000,0.2500000,element_66.json,0,0.2500000,0,0.2500000,0,0
67,mortar,21.1666667,20.0000000,0.2500000,element_67.json,0,0.2500000,0,0.2500000,0,0
68,mortar,22.5000000,20.3333333,0.2500000,element_68.json,0,0.2500000,0,0.2500000,0,0
69,mortar,21.8333333,20.0000000,0.2500000,element_69.json,0,0.2500000,0,0.2500000,0,0
70,mortar,22.1666667,20.0000000,0.2500000,element_70.json,0,0.2500000,0,0.2500000,0,0
71,mortar,23.5000000,20.3333333,0.2500000,element_71.json,0,0.2500000,0,0.2500000,0,0
72,mortar,22.8333333,20.0000000,0.2500000,element_72.json,0,0.2500000,0,0.2500000,0,0
73,mortar,23.1666667,20.0000000,0.2500000,element_73.json,0,0.2500000,0,0.2500000,0,0
74,mortar,24.5000000,20.3333333,0.2500000,element_74.json,0,0.2500000,0,0.2500000,0,0
75,mortar,23.8333333,20.0000000,0.2500000,element_75.json,0,0.2500000,0,0.2500000,0,0
76,mortar,24.1666667,20.0000000,0.2500000,element_76.json,0,0.2500000,0,0.2500000,0,0
77,mortar,25.5000000,20.3333333,0.2500000,element_77.json,0,0.2500000,0,0.2500000,0,0
78,mortar,24.8333333,20.0000000,0.2500000,element_78.json,0,0.2500000,0,0.2500000,0,0
79,mortar,25.1666667,20.0000000,0.2500000,element_79.json,0,0.2500000,0,0.2500000,0,0
80,mortar,26.5000000,20.3333333,0.2500000,element_80.json,0,0.2500000,0,0.2500000,0,0
81,mortar,25.8333333,20.0000000,0.2500000,element_81.json,0,0.2500000,0,0.2500000,0,0
82,mortar,26.1666667,20.0000000,0.2500000,element_82.json,0,0.2500000,0,0.2500000,0,0
83,mortar,27.5000000,20.3333333,0.2500000,element_83.json,0,0.2500000,0,0.2500000,0,0
84,mortar,26.8333333,20.0000000,0.2500000,element_84.json,0,0.2500000,0,0.2500000,0,0
85,mortar,27.1666667,20.0000000,0.2500000,element_85.json,0,0.2500000,0,0.2500000,0,0
86,mortar,28.5000000,20.3333333,0.2500000,element_86.json,0,0.2500000,0,0.2500000,0,0
87,mortar,27.8333333,20.0000000,0.2500000,element_87.json,0,0.2500000,0,0.2500000,0,0
88,mortar,28.1666667,20.0000000,0.2500000,element_88.json,0,0.2500000,0,0.2500000,0,0
89,mortar,29.5000000,20.3333333,0.2500000,element_89.json,0,0.2500000,0,0.2500000,0,0
90,mortar,28.8333333,20.0000000,0.2500000,element_90.json,0,0.2500000,0,0.2500000,0,0
91,mortar,29.1666667,20.0000000,0.2500000,element_91.json,0,0.2500000,0,0.2500000,0,0
92,mortar,30.5000000,20.3333333,0.2500000,element_92.json,0,0.2500000,0,0.2500000,0,0
93,mortar,29.8333333,20.0000000,0.2500000,element_93.json,0,0.2500000,0,0.2500000,0,0
94,mortar,30.1666667,20.0000000,0.2500000,element_94.json,0,0.2500000,0,0.2500000,0,0
95,mortar,31.5000000,20.3333333,0.2500000,element_95.json,0,0.2500000,0,0.2500000,0,0
96,mortar,30.8333333,20.0000000,0.2500000,element_96.json,0,0.2500000,0,0.2500000,0,0
97,mortar,31.1666667,20.0000000,0.2500000,element_97.json,0,0.2500000,0,0.2500000,0,0
98,mortar,32.5000000,20.3333333,0.2500000,element_98.json,0,0.2500000,0,0.2500000,0,0
99,mortar,31.8333333,20.0000000,0.2500000,element_99.json,0,0.2500000,0,0.2500000,0,0
100,mortar,32.1666667,20.0000000,0.2500000,element_100.json,0,0.2500000,0,0.2500000,0,0
101,mortar,33.5000000,20.3333333,0.2500000,element_101.json,0,0.2500000,0,0.2500000,0,0
102,mortar,32.8333333,20.0000000,0.2500000,element_102.json,0,0.2500000,0,0.2500000,0,0
103,mortar,33.1666667,20.0000000,0.2500000,element_103.json,0,0.2500000,0,0.2500000,0,0
104,mortar,34.5000000,20.3333333,0.2500000,element_104.json,0,0.2500000,0,0.2500000,0,0
105,mortar,33.8333333,20.0000000,0.2500000,element_105.json,0,0.2500000,0,0.2500000,0,0
106,mortar,34.1666667,20.0000000,0.2500000,element_106.json,0,0.2500000,0,0.2500000,0,0
107,mortar,35.5000000,20.3333333,0.2500000,element_107.json,0,0.2500000,0,0.2500000,0,0
108,mortar,34.8333333,20.0000000,0.2500000,element_108.json,0,0.2500000,0,0.2500000,0,0
109,mortar,35.1666667,20.0000000,0.2500000,element_109.json,0,0.2500000,0,0.2500000,0,0
110,mortar,36.5000000,20.3333333,0.2500000,element_110.json,0,0.2500000,0,0.2500000,0,0
111,mortar,35.8333333,20.0000000,0.2500000,element_111.json,0,0.2500000,0,0.2500000,0,0
112,mortar,36.1666667,20.0000000,0.2500000,element_112.json,0,0.2500000,0,0.2500000,0,0
113,mortar,37.5000000,20.3333333,0.2500000,element_113.json,0,0.2500000,0,0.2500000,0,0
114,mortar,36.8333333,20.0000000,0.2500000,element_114.json,0,0.2500000,0,0.2500000,0,0
115,mortar,37.1666667,20.0000000,0.2500000,element_115.json,0,0.2500000,0,0.2500000,0,0
116,mortar,38.5000000,20.3333333,0.2500000,element_116.json,0,0.2500000,0,0.2500000,0,0
117,mortar,37.8333333,20.0000000,0.2500000,element_117.json,0,0.2500000,0,0.2500000,0,0
118,mortar,38.1666667,20.0000000,0.2500000,element_118.json,0,0.2500000,0,0.2500000,0,0
119,mortar,39.5000000,20.3333333,0.2500000,element_119.json,0,0.2500000,0,0.2500000,0,0
120,mortar,38.8333333,20.0000000,0.2500000,element_120.json,0,0.2500000,0,0.2500000,0,0
121,mortar,39.1666667,20.0000000,0.2500000,element_121.json,0,0.2500000,0,0.2500000,0,0
122,mortar,40.5000000,20.3333333,0.2500000,element_122.json,0,0.2500000,0,0.2500000,0,0
123,mortar,39.8333333,20.0000000,0.2500000,element_123.json,0,0.2500000,0,0.2500000,0,0
124,mortar,40.1666667,20.0000000,0.2500000,element_124.json,0,0.2500000,0,0.2500000,0,0
125,mortar,41.5000000,20.3333333,0.2500000,element_125.json,0,0.2500000,0,0.2500000,0,0
126,mortar,40.8333333,20.0000000,0.2500000,element_126.json,0,0.2500000,0,0.2500000,0,0
127,mortar,41.1666667,20.0000000,0.2500000,element_127.json,0,0.2500000,0,0.2500000,0,0
128,mortar,42.5000000,20.3333333,0.2500000,element_128.json,0,0.2500000,0,0.2500000,0,0
129,mortar,41.8333333,20.0000000,0.2500000,element_129.json,0,0.2500000,0,0.2500000,0,0
130,mortar,42.1666667,20.0000000,0.2500000,element_130.json,0,0.2500000,0,0.2500000,0,0
131,mortar,43.5000000,20.3333333,0.2500000,element_131.json,0,0.2500000,0,0.2500000,0,0
132,mortar,42.8333333,20.0000000,0.2500000,element_132.json,0,0.2500000,0,0.2500000,0,0
133,mortar,43.1666667,20.0000000,0.2500000,element_133.json,0,0.2500000,0,0.2500000,0,0
134,mortar,44.5000000,20.3333333,0.2500000,element_134.json,0,0.2500000,0,0.2500000,0,0
135,mortar,43.8333333,20.0000000,0.2500000,element_135.json,0,0.2500000,0,0.2500000,0,0
136,mortar,44.1666667,20.0000000,0.2500000,element_136.json,0,0.2500000,0,0.2500000,0,0
137,mortar,45.5000000,20.3333333,0.2500000,element_137.json,0,0.2500000,0,0.2500000,0,0
138,mortar,44.8333333,20.0000000,0.2500000,element_138.json,0,0.2500000,0,0.2500000,0,0
139,mortar,45.1666667,20.0000000,0.2500000,element_139.json,0,0.2500000,0,0.2500000,0,0
140,mortar,46.5000000,20.3333333,0.2500000,element_140.json,0,0.2500000,0,0.2500000,0,0
141,mortar,45.8333333,20.0000000,0.2500000,element_141.json,0,0.2500000,0,0.2500000,0,0
142,mortar,46.1666667,20.0000000,0.2500000,element_142.json,0,0.2500000,0,0.2500000,0,0
143,mortar,47.5000000,20.3333333,0.2500000,element_143.json,0,0.2500000,0,0.2500000,0,0
144,mortar,46.8333333,20.0000000,0.2500000,element_144.json,0,0.2500000,0,0.2500000,0,0
