id,center,mass,dl,ll,type,displacement,shape_file,contps
859,"[0.03956205595537995, 0.017324834690615225]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[4.729791171279052e-05, -0.00010267234501877272, 0.13138426363864072]",element_859.json,[]
860,"[0.038898235316824806, 0.016520612610982834]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[8.599016115902297e-05, -7.253414341229859e-05, 0.08585141823986014]",element_860.json,[]
861,"[0.0993051347951361, 0.017871137905377983]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[9.3416901224463e-05, 0.00010102730296377387, -0.00132487885761273]",element_861.json,[]
862,"[0.08920904115282853, 0.019099740204280142]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[2.4794539004354194e-07, 5.8915448247531196e-05, -0.08060287312918132]",element_862.json,[]
863,"[0.089205744160239, 0.017840519110759852]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[9.15779017432394e-05, 7.095819461462186e-05, -0.018756291318871146]",element_863.json,[]
864,"[0.07929599771220766, 0.019069988971619184]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[2.0162122647233316e-05, 3.739667013582319e-05, -0.0715073319441667]",element_864.json,[]
865,"[0.07929321600269197, 0.01774529143834388]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00010213835304084569, 6.134066975746903e-05, -0.0009344377186052962]",element_865.json,[]
866,"[0.06943874908322714, 0.019035741716829993]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[2.471952262900921e-05, 4.1842333327907936e-05, -0.05759505578406667]",element_866.json,[]
867,"[0.06932197203107836, 0.017653161295195858]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[9.68538971472286e-05, 5.134351566375845e-05, -0.0017277350684858305]",element_867.json,[]
868,"[0.08708656152183318, 0.015614868417017699]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010492491775207461, 8.430926767847317e-05, -0.0012828304008733768]",element_868.json,[]
869,"[0.08775994815415739, 0.015631220748160354]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010408955371559634, 8.313140270770417e-05, 0.002765722892409275]",element_869.json,[]
870,"[0.05776138046945129, 0.015250460791872011]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010540612043344326, 4.137390891460102e-05, -0.0014713673969952534]",element_870.json,[]
871,"[0.04775844647750311, 0.015126552005097889]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010563590757250234, 2.6639063503375752e-05, -0.0014729064645504792]",element_871.json,[]
872,"[0.07708635743724004, 0.015491811495982225]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010491575884504355, 6.969033388078255e-05, -0.0015240774661409015]",element_872.json,[]
