id,center,mass,dl,ll,type,displacement,shape_file,contps
186,"[0.060935246149318396, 0.019998749699805057]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7341337444337684e-05, -3.3017226262359556e-05, 5.3249850095596995e-05]",element_186.json,[]
187,"[0.06126856369189114, 0.019998714626352825]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.742355169047449e-05, -3.299752804568614e-05, -0.0001700908674536019]",element_187.json,[]
188,"[0.06259795894384822, 0.02033129822884134]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7299715071655354e-05, -3.304963333967613e-05, 1.9024020145751562e-05]",element_188.json,[]
189,"[0.06193372331710375, 0.019998797185792876]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.72862185895259e-05, -3.3033770682406375e-05, 3.850475304144837e-05]",element_189.json,[]
190,"[0.06226701432453427, 0.01999881267644737]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7293389859808434e-05, -3.3043337442571175e-05, 1.902402014575222e-05]",element_190.json,[]
191,"[0.06359639248550455, 0.020331353748681797]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7260820284545345e-05, -3.307366714729718e-05, 2.729219182661456e-05]",element_191.json,[]
192,"[0.06293213970459184, 0.019998898609506575]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.724532362596353e-05, -3.305264680665992e-05, 4.4745297285530936e-05]",element_192.json,[]
193,"[0.06326541502147645, 0.019998844368310034]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.725174537475209e-05, -3.306463404685864e-05, 2.729219182661155e-05]",element_193.json,[]
194,"[0.0645948363775015, 0.02033143637458207]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.72308677802048e-05, -3.3100090295393e-05, -3.1154089821339546e-13]",element_194.json,[]
195,"[0.06393048463332171, 0.019998947092967984]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7213261142852023e-05, -3.3092162083462294e-05, 4.7838977670096524e-05]",element_195.json,[]
196,"[0.06426378087584013, 0.019998858932066852]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7230867780308414e-05, -3.3100090295496135e-05, -3.115405543675613e-13]",element_196.json,[]
197,"[0.06559329362853403, 0.020331491107094455]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.719634135707228e-05, -3.3144918488289e-05, 3.6419266687161475e-05]",element_197.json,[]
198,"[0.06492900587653368, 0.01999914530992547]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7178675297249884e-05, -3.3118222330676795e-05, 5.153078670277833e-05]",element_198.json,[]
199,"[0.06526230113783907, 0.019999118930992512]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.718423660615143e-05, -3.3132863984498935e-05, 3.641926668716526e-05]",element_199.json,[]
200,"[0.06659175968351191, 0.02033146472157106]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.716420891568968e-05, -3.314718940629882e-05, 2.765608281172389e-05]",element_200.json,[]
201,"[0.06592742073408171, 0.019999062879994325]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7140188000674876e-05, -3.312213586176058e-05, 6.796150364306487e-05]",element_201.json,[]
202,"[0.06626071023828319, 0.019998976102228082]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.715501358289917e-05, -3.3138033875426797e-05, 2.7656082811726627e-05]",element_202.json,[]
203,"[0.06759020289511705, 0.02033149275994183]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7129323567114274e-05, -3.3149101299990684e-05, -5.636203089024179e-06]",element_203.json,[]
204,"[0.06692588026314245, 0.019999052192402694]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7111963318262064e-05, -3.3144185711857825e-05, 4.662293545072465e-05]",element_204.json,[]
205,"[0.06725915656388713, 0.019998975531057336]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.713119770174686e-05, -3.3150967144345376e-05, -5.636203089020771e-06]",element_205.json,[]
206,"[0.06858877023831818, 0.02033168906719146]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.709662545765007e-05, -3.323336461049055e-05, 1.1016564291582453e-05]",element_206.json,[]
207,"[0.06792437603729916, 0.01999924879459928]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7092963108013944e-05, -3.322604526906008e-05, 1.1016564291587637e-05]",element_207.json,[]
208,"[0.06825766794119842, 0.019999136481674288]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.709296187071138e-05, -3.3229717000747243e-05, 1.1016564291585787e-05]",element_208.json,[]
209,"[0.06958717891573056, 0.020331614297544365]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.706004218089258e-05, -3.3221361805528346e-05, 1.3244314224983663e-05]",element_209.json,[]
210,"[0.06892292954369814, 0.01999928103294008]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7055642431504014e-05, -3.321256487828764e-05, 1.3240690708529992e-05]",element_210.json,[]
211,"[0.06925622547212738, 0.01999926477037766]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.705564043932226e-05, -3.321697855412742e-05, 1.3244314224989382e-05]",element_211.json,[]
212,"[0.07058560286943046, 0.020331774794537235]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.700559227725741e-05, -3.3226751277864785e-05, -4.3254082489243854e-18]",element_212.json,[]
213,"[0.06992145409867011, 0.01999920624226296]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.69951556912196e-05, -3.3222046506716435e-05, 2.8421758562701495e-05]",element_213.json,[]
214,"[0.07025473641697819, 0.019999260354678583]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.700559227725742e-05, -3.322675127786479e-05, -3.463137544915663e-18]",element_214.json,[]
215,"[0.07158744237045135, 0.020332111702744286]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.517965142087507e-05, -3.278925508741997e-05, -0.0005885631114509078]",element_215.json,[]
216,"[0.07092227954735206, 0.02000009886967423]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.648902793251134e-05, -3.296086318220053e-05, 0.0007482441966723885]",element_216.json,[]
217,"[0.07125721655793026, 0.019998769920997563]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.53758440971165e-05, -3.2983613819118796e-05, -0.0005885631114509036]",element_217.json,[]
218,"[0.07264783249623752, 0.020274854714577885]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.4114544723002422e-05, 3.046217410981134e-05, -0.022292209402200124]",element_218.json,[]
219,"[0.07192881180454397, 0.020001796930731584]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.256370873404121e-05, -3.249571525970543e-05, -0.022292209402200128]",element_219.json,[]
220,"[0.07231735411642745, 0.019941286955960574]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.1590797926693077e-05, 2.179234245058962e-05, -0.02229220940220012]",element_220.json,[]
221,"[0.07367560558874367, 0.02025033092698329]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.1062867209925591e-05, 6.964684692732362e-05, -0.014021484659078372]",element_221.json,[]
