id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
976,76.9973037,17.9903704,-0.9629640,0.2696299,-0.2696299,-0.9629640,165,510,0.7912972,0.3956486,1566,3045,friction,0.7000000,0,0,0
3045,76.9973037,17.9903704,0.9629640,-0.2696299,-0.2696299,-0.9629640,510,165,0.7912972,0.3956486,1567,976,friction,0.7000000,0,0,0
977,76.7839463,17.2283796,-0.9629640,0.2696299,0.2696299,0.9629640,165,510,0.7912972,0.3956486,1566,3044,friction,0.7000000,0,0,0
3044,76.7839463,17.2283796,0.9629640,-0.2696299,0.2696299,0.9629640,510,165,0.7912972,0.3956486,1567,977,friction,0.7000000,0,0,0
979,77.0096296,18.0026963,-0.2696299,0.9629640,0.9629640,0.2696299,166,518,0.7912972,0.3956486,1578,3092,friction,0.7000000,0,0,0
3092,77.0096296,18.0026963,0.2696299,-0.9629640,0.9629640,0.2696299,518,166,0.7912972,0.3956486,1579,979,friction,0.7000000,0,0,0
980,77.0031623,18.0094868,0.9486833,-0.3162278,0.3162278,0.9486833,166,608,0.7705694,0.3852847,1572,3633,friction,0.7000000,0,0,0
3633,77.0031623,18.0094868,-0.9486833,0.3162278,0.3162278,0.9486833,608,166,0.7705694,0.3852847,1573,980,friction,0.7000000,0,0,0
981,77.2468377,18.7405132,0.9486833,-0.3162278,-0.3162278,-0.9486833,166,608,0.7705694,0.3852847,1572,3632,friction,0.7000000,0,0,0
3632,77.2468377,18.7405132,-0.9486833,0.3162278,-0.3162278,-0.9486833,608,166,0.7705694,0.3852847,1573,981,friction,0.7000000,0,0,0
982,77.2570711,18.7429289,-0.7071068,-0.7071068,0.7071068,-0.7071068,166,167,0.7313010,0.3656505,1576,985,friction,0.7000000,0,0,0
985,77.2570711,18.7429289,0.7071068,0.7071068,0.7071068,-0.7071068,167,166,0.7313010,0.3656505,1577,982,friction,0.7000000,0,0,0
983,77.7741789,18.2258211,-0.7071068,-0.7071068,-0.7071068,0.7071068,166,167,0.7313010,0.3656505,1576,990,friction,0.7000000,0,0,0
990,77.7741789,18.2258211,0.7071068,0.7071068,-0.7071068,0.7071068,167,166,0.7313010,0.3656505,1577,983,friction,0.7000000,0,0,0
984,77.7716204,18.2160537,-0.2696299,0.9629640,-0.9629640,-0.2696299,166,518,0.7912972,0.3956486,1578,3093,friction,0.7000000,0,0,0
3093,77.7716204,18.2160537,0.2696299,-0.9629640,-0.9629640,-0.2696299,518,166,0.7912972,0.3956486,1579,984,friction,0.7000000,0,0,0
986,77.2594868,18.7531623,0.3162278,-0.9486833,0.9486833,0.3162278,167,533,0.7705694,0.3852847,1582,3183,friction,0.7000000,0,0,0
3183,77.2594868,18.7531623,-0.3162278,0.9486833,0.9486833,0.3162278,533,167,0.7705694,0.3852847,1583,986,friction,0.7000000,0,0,0
987,77.9905132,18.9968377,0.3162278,-0.9486833,-0.9486833,-0.3162278,167,533,0.7705694,0.3852847,1582,3182,friction,0.7000000,0,0,0
3182,77.9905132,18.9968377,-0.3162278,0.9486833,-0.9486833,-0.3162278,533,167,0.7705694,0.3852847,1583,987,friction,0.7000000,0,0,0
988,77.9973037,18.9903704,-0.9629640,0.2696299,-0.2696299,-0.9629640,167,511,0.7912972,0.3956486,1586,3051,friction,0.7000000,0,0,0
3051,77.9973037,18.9903704,0.9629640,-0.2696299,-0.2696299,-0.9629640,511,167,0.7912972,0.3956486,1587,988,friction,0.7000000,0,0,0
989,77.7839463,18.2283796,-0.9629640,0.2696299,0.2696299,0.9629640,167,511,0.7912972,0.3956486,1586,3050,friction,0.7000000,0,0,0
3050,77.7839463,18.2283796,0.9629640,-0.2696299,0.2696299,0.9629640,511,167,0.7912972,0.3956486,1587,989,friction,0.7000000,0,0,0
991,82.1066108,18.9237372,0.9876260,0.1568273,0.1568273,-0.9876260,168,466,0.7292884,0.3646442,1598,2780,friction,0.7000000,0,0,0
2780,82.1066108,18.9237372,-0.9876260,-0.1568273,0.1568273,-0.9876260,466,168,0.7292884,0.3646442,1599,991,friction,0.7000000,0,0,0
992,82.1147151,18.9310755,-0.2537992,-0.9672569,0.9672569,-0.2537992,168,977,0.6841651,0.3420825,1592,5847,friction,0.7000000,0,0,0
5847,82.1147151,18.9310755,0.2537992,0.9672569,0.9672569,-0.2537992,977,168,0.6841651,0.3420825,1593,992,friction,0.7000000,0,0,0
993,82.7764786,18.7574349,-0.2537992,-0.9672569,-0.9672569,0.2537992,168,977,0.6841651,0.3420825,1592,5846,friction,0.7000000,0,0,0
5846,82.7764786,18.7574349,0.2537992,0.9672569,-0.9672569,0.2537992,977,168,0.6841651,0.3420825,1593,993,friction,0.7000000,0,0,0
994,82.7790656,18.7478403,-0.7056599,0.7085507,-0.7085507,-0.7056599,168,169,0.7754260,0.3877130,1596,997,friction,0.7000000,0,0,0
997,82.7790656,18.7478403,0.7056599,-0.7085507,-0.7085507,-0.7056599,169,168,0.7754260,0.3877130,1597,994,friction,0.7000000,0,0,0
995,82.2296370,18.2006533,-0.7056599,0.7085507,0.7085507,0.7056599,168,169,0.7754260,0.3877130,1596,1002,friction,0.7000000,0,0,0
1002,82.2296370,18.2006533,0.7056599,-0.7085507,0.7085507,0.7056599,169,168,0.7754260,0.3877130,1597,995,friction,0.7000000,0,0,0
996,82.2209832,18.2034730,0.9876260,0.1568273,-0.1568273,0.9876260,168,466,0.7292884,0.3646442,1598,2781,friction,0.7000000,0,0,0
2781,82.2209832,18.2034730,-0.9876260,-0.1568273,-0.1568273,0.9876260,466,168,0.7292884,0.3646442,1599,996,friction,0.7000000,0,0,0
998,82.7888767,18.7452755,-0.9621396,-0.2725571,0.2725571,-0.9621396,169,658,0.7646022,0.3823011,1602,3933,friction,0.7000000,0,0,0
3933,82.7888767,18.7452755,0.9621396,0.2725571,0.2725571,-0.9621396,658,169,0.7646022,0.3823011,1603,998,friction,0.7000000,0,0,0
999,82.9972744,18.0096214,-0.9621396,-0.2725571,-0.2725571,0.9621396,169,658,0.7646022,0.3823011,1602,3932,friction,0.7000000,0,0,0
3932,82.9972744,18.0096214,0.9621396,0.2725571,-0.2725571,0.9621396,658,169,0.7646022,0.3823011,1603,999,friction,0.7000000,0,0,0
1000,82.9902963,18.0024164,0.2416364,0.9703669,-0.9703669,0.2416364,169,447,0.7811903,0.3905951,1606,2667,friction,0.7000000,0,0,0
